broken_windows,value,num_units,num_stories,num_rooms,num_bedrooms,hhinc,num_under6,num_under18,year
0,200000,13,5,4,3,66000,1,1,2011
0,150000,13,6,4,3,157600,1,1,2011
1,200000,13,7,5,4,-8900,1,3,2011
1,200000,13,7,4,3,115845,1,1,2011
1,12000,13,7,4,3,90000,1,3,2011
0,700000,6,2,6,4,121000,1,1,2011
0,700000,6,2,5,3,75400,1,1,2011
0,12000,12,6,3,2,13044,1,1,2011
0,20000,12,6,3,2,15000,1,1,2011
0,375000,12,5,6,4,165000,2,3,2011
0,375000,12,5,4,2,19200,1,1,2011
0,375000,12,4,3,2,30600,1,1,2011
0,1000000,1,1,5,3,50000,1,1,2011
0,1000000,3,1,5,3,88270,1,1,2011
0,500000,3,1,7,5,110620,1,1,2011
0,500000,5,2,5,3,22000,1,1,2011
0,950000,1,2,8,5,87400,1,1,2011
0,900000,9,1,7,5,80000,1,1,2011
0,235000,12,5,4,3,106000,1,1,2011
0,40000,12,5,6,3,129000,1,1,2011
0,200000,12,5,3,2,80000,1,1,2011
0,300000,12,5,4,3,212000,1,1,2011
0,300000,3,1,4,3,98000,1,1,2011
0,24000,13,6,5,3,17688,1,1,2011
0,30000,13,6,5,4,22200,1,1,2011
0,30000,13,6,6,4,267568,1,1,2011
0,20000,13,7,4,3,15600,1,1,2011
0,700000,1,1,8,5,120000,2,4,2011
0,700000,1,1,6,5,20400,1,1,2011
0,300000,1,1,4,3,21000,1,1,2011
0,300000,1,1,4,3,60000,1,1,2011
0,300000,1,1,4,3,8000,1,1,2011
0,300000,1,1,4,3,103750,1,1,2011
0,700000,1,2,7,5,108876,1,5,2011
0,350000,3,2,8,7,108738,1,5,2011
0,345000,1,2,7,4,60000,1,1,2011
0,300000,5,2,4,3,110000,1,1,2011
0,300000,5,2,4,3,157000,1,1,2011
0,250000,5,2,5,4,72000,1,1,2011
0,400000,3,1,7,5,140000,1,2,2011
0,400000,1,1,6,5,151000,1,2,2011
0,500000,3,1,8,7,158400,1,3,2011
0,600000,3,1,5,4,119000,1,1,2011
0,600000,3,1,5,4,195000,1,1,2011
0,600000,3,1,5,3,102000,1,1,2011
0,400000,3,1,5,4,22800,1,1,2011
0,353000,1,1,5,4,100000,2,2,2011
0,385000,1,1,6,4,55240,1,1,2011
0,340000,3,2,3,2,37000,1,2,2011
0,370000,1,1,6,4,75000,1,2,2011
0,250000,13,7,4,3,56075,1,1,2011
0,115000,13,7,5,4,57000,1,3,2011
0,90000,13,6,4,3,78206,1,2,2011
0,380000,3,1,6,4,9000,1,1,2011
0,300000,3,1,4,3,35024,1,1,2011
0,400000,5,1,5,4,54400,1,1,2011
0,450000,3,2,5,3,69400,1,2,2011
1,500000,1,1,7,5,14400,1,1,2011
1,300000,3,2,4,3,121000,3,3,2011
1,300000,1,1,7,4,7056,3,3,2011
0,700000,3,1,4,2,32000,1,1,2011
0,400000,3,1,4,3,49486,1,1,2011
0,450000,3,1,3,3,62000,1,1,2011
0,450000,3,2,7,4,66451,1,1,2011
0,90000,11,6,4,3,120000,1,1,2011
0,130000,13,6,4,2,90400,1,1,2011
0,150000,13,6,3,2,97000,1,1,2011
0,150000,13,6,4,3,70000,1,1,2011
0,564000,3,2,5,4,65000,1,1,2011
0,300000,5,1,5,4,24000,1,4,2011
0,445000,5,1,5,4,47100,1,1,2011
0,200000,12,5,4,3,115000,1,1,2011
0,170000,12,5,5,3,172000,1,4,2011
0,580000,5,2,4,3,1224,1,1,2011
0,580000,5,2,4,3,80000,1,1,2011
0,400000,5,2,5,4,149000,1,3,2011
0,400000,5,2,8,7,35000,1,3,2011
0,450000,3,1,5,4,64000,1,1,2011
0,170000,13,6,3,2,110000,1,1,2011
0,220000,13,6,5,4,96000,1,1,2011
0,200000,13,6,4,3,160000,1,1,2011
0,200000,12,6,4,3,19000,1,3,2011
0,200000,13,6,3,2,8880,1,1,2011
0,450000,3,1,5,4,132000,1,1,2011
0,450000,6,1,5,3,113700,1,2,2011
0,125000,12,5,3,2,19200,1,1,2011
0,200000,12,5,5,4,10080,1,1,2011
0,200000,12,5,4,3,63600,3,3,2011
0,400000,3,1,6,4,84200,1,1,2011
0,200000,13,6,3,2,780939,2,2,2011
0,90000,12,5,3,2,80000,1,1,2011
0,90000,12,5,3,2,21192,1,1,2011
0,80000,11,5,3,3,68000,1,1,2011
0,80000,12,5,4,3,15700,1,3,2011
0,80000,13,6,3,2,147000,1,1,2011
0,80000,12,5,2,2,68000,1,1,2011
0,550000,4,1,5,3,79200,2,3,2011
0,30000,3,1,6,4,33600,1,1,2011
0,500000,3,2,5,4,65000,1,2,2011
0,400000,1,1,8,6,88000,1,2,2011
0,400000,3,1,4,3,100000,1,1,2011
0,450000,3,1,4,3,53000,1,1,2011
0,300000,1,1,5,3,45400,1,1,2011
0,300000,1,1,4,3,58400,1,1,2011
